text_container_index,entity_urn,entity_text,entity_type,confidence,entity_link,wikidata_id,linked_by,aligned_translation_location,entity_type_changed?,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἑλληνικῆς[1],Ἑλληνικῆς,MISC,0.9850707054,,Q101242814,JF,1.1.1@Greek,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Κυκλάδας[1],Κυκλάδας,LOC,0.8195088506,http://topostext.org/place/372248RKyk,Q171132,CP,1.1.1@Cyclades ,y,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Αἰγαῖον[1],Αἰγαῖον,LOC,0.6886150837,https://pleiades.stoa.org/places/658368,Q60791230,CP,1.1.1@Aegean ,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Σούνιον[1],Σούνιον,LOC,0.9704216123,http://topostext.org/place/376240LSou,Q1136637,CP,1.1.1@Sounion,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀττικῆς[1],Ἀττικῆς,LOC,0.8772996068,https://pleiades.stoa.org/places/579888,Q122443,JF,1.1.1@Attica,y,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀθηνᾶς[1],Ἀθηνᾶς,PER,0.9027066231,https://topostext.org/people/11,Q37122,JF,1.1.1@Athena ,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Σουνιάδος[1],Σουνιάδος,LOC,0.6712364554,https://topostext.org/place/377240SAth,Q1136637,JF,1.1.1@Sounion,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Λαύριόν[1],Λαύριόν,LOC,0.9136460423,https://topostext.org/place/377241RLau,Q985449,JF,1.1.1@Laurion,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀθηναίοις[1],Ἀθηναίοις,MISC,0.9880777001,https://topostext.org/place/380237PAth,Q120096553,JF,1.1.1@Athenians ,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Πατρόκλου[1],Πατρόκλου,LOC,0.9741764665,https://topostext.org/place/377240IPat,Q1145107,JF,1.1.1@Patroklos,y,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Πάτροκλος[1],Πάτροκλος,PER,0.9908289909,https://topostext.org/people/12350,Q762982,JF,1.1.1@Patroklos[2],,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Αἰγυπτίαις[1],Αἰγυπτίαις,MISC,0.9150825143,https://topostext.org/place/271307REgy,Q11768,JF,1.1.1@Egyptian ,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Πτολεμαῖος[1],Πτολεμαῖος,PER,0.9967820644,https://topostext.org/people/8222,Q39576,JF,1.1.1@Ptolemy,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Πτολεμαίου[1],Πτολεμαίου,PER,0.9984343648,https://topostext.org/people/8223,Q168261,JF,1.1.1@Ptolemy,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Λάγου[1],Λάγου,PER,0.9737442136,https://topostext.org/people/742,Q718154,JF,1.1.1@Lagos,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀθηναίοις[2],Ἀθηναίοις,MISC,0.9906879067,https://topostext.org/place/380237PAth,Q120096553,JF,1.1.1@Athenians[2],,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Ἀντίγονος[1],Ἀντίγονος,PER,0.9951523542,https://topostext.org/people/2711,Q241386,JF,1.1.1@Antigonos,,
0,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.1@Δημητρίου[1],Δημητρίου,PER,0.9967051148,https://topostext.org/people/234,Q59734,JF,1.1.1@Demetrios,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Πειραιεὺς[1],Πειραιεὺς,LOC,0.4450030923,https://topostext.org/place/379236HPei,Q13426467,JF,1.1.2@Peiraieus ,y,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλῆς[1],Θεμιστοκλῆς,PER,0.9954640269,https://topostext.org/people/77,Q179552,JF,1.1.2@Themistocles ,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Ἀθηναίοις[1],Ἀθηναίοις,MISC,0.9879565835,https://topostext.org/place/380237PAth,Q120096553,JF,1.1.2@Athenians,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Φαληρὸν[1],Φαληρὸν,LOC,0.6336508989,https://topostext.org/place/379237DPha,Q534927,JF,1.1.2@Phaleron,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Μενεσθέα[1],Μενεσθέα,PER,0.9639589787,https://topostext.org/people/865,Q781867,JF,1.1.2@Menestheus ,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Τροίαν[1],Τροίαν,LOC,0.9935506582,https://topostext.org/place/400262UIli,Q22647,JF,1.1.2@Troy,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θησέα[1],Θησέα,PER,0.9952030182,https://topostext.org/people/57,Q1320718,JF,1.1.2@Theseus,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Μίνῳ[1],Μίνῳ,PER,0.9977250695,https://topostext.org/people/119,Q23168,JF,1.1.2@Minos ,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Ἀνδρόγεω[1],Ἀνδρόγεω,PER,0.9816194773,https://topostext.org/people/1463,Q512388,JF,1.1.2@Androgeōs,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλῆς[1],Θεμιστοκλῆς,PER,0.9882086515,https://topostext.org/people/77,Q179552,JF,1.1.2@Themistocles[2],,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Πειραιεὺς[2],Πειραιεὺς,LOC,0.8125942349,https://topostext.org/place/379236HPei,Q13426467,JF,1.1.2@Peiraieus[2],,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Φαληροῖ[1],Φαληροῖ,LOC,0.8574594259,https://topostext.org/place/379237DPha,Q534927,JF,1.1.2@Phaleron,,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλέους[1],Θεμιστοκλέους,PER,0.9949101806,https://topostext.org/people/77,Q179552,JF,1.1.2@Themistocles[3],,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Θεμιστοκλέα[1],Θεμιστοκλέα,PER,0.9852668047,https://topostext.org/people/77,Q179552,JF,1.1.2@Themistocles[4],,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Ἀθηναίοις[1],Ἀθηναίοις,MISC,0.9936662316,https://topostext.org/place/380237PAth,Q120096553,JF,1.1.2@Athenians[2],,
1,urn:cts:greekLit:tlg0525.tlg001.perseus-grc2:1.1.2@Μαγνησίας[1],Μαγνησίας,LOC,0.9845736623,https://topostext.org/place/379275UMag,Q1432674,JF,1.1.2@Magnesia,,
